average_utilization,elapsed_time(s),,,
23.85%,0.442,,,
30.44%,0.394,,,
31.24%,0.396,,,
33.45%,0.38,,,
25.60%,0.391,,,
31.24%,0.409,,,
31.24%,0.409,,,
25.60%,0.4,,,
33.45%,0.348,,,
31.24%,0.36,,,
31.24%,0.397,,,
25.60%,0.472,,,
23.85%,0.407,,,
31.84%,0.336,,,
31.24%,0.462,,,
33.45%,0.529,,,
31.24%,0.481,,,
33.45%,0.469,,,
33.13%,0.46,,,
33.13%,0.413,,,
31.84%,0.413,,,
30.44%,0.431,,,
31.24%,0.445,,,
31.24%,0.4,,,
28.01%,0.374,,,
22.12%,0.391,,,
22.47%,0.444,,,
32.27%,0.407,,,
33.45%,0.384,,,
33.45%,0.365,,,
33.45%,0.398,,,
26.89%,0.412,,,
30.44%,0.421,,,
30.44%,0.365,,,
25.60%,0.4,,,
31.24%,0.381,,,
31.24%,0.376,,,
33.45%,0.337,,,
23.85%,0.449,,,
22.47%,0.469,,,
30.44%,0.41,,,
22.12%,0.44,,,
31.24%,0.374,,,
33.45%,0.381,,,
31.24%,0.381,,,
31.24%,0.398,,,
31.24%,0.395,,,
31.24%,0.394,,,
22.12%,0.4,,,
31.24%,0.401,,,
31.24%,0.37,,,
31.24%,0.367,,,
26.33%,0.398,,,
22.47%,0.453,,,
25.60%,0.398,,,
22.47%,0.438,,,
31.24%,0.371,,,
31.24%,0.393,,,
30.44%,0.383,,,
31.84%,0.357,,,
28.94%,0.381,,,
28.01%,0.395,,,
30.44%,0.406,,,
23.85%,0.466,,,
22.12%,0.406,,,
31.24%,0.354,,,
31.24%,0.387,,,
33.45%,0.349,,,
22.47%,0.451,,,
31.24%,0.369,,,
25.60%,0.433,,,
25.60%,0.452,,,
23.85%,0.409,,,
22.12%,0.414,,,
25.60%,0.455,,,
28.94%,0.423,,,
31.84%,0.372,,,
26.48%,0.428,,,
25.80%,0.386,,,
25.60%,0.417,,,
31.24%,0.365,,,
33.45%,0.446,,,
31.24%,0.389,,,
33.13%,0.384,,,
25.60%,0.424,,,
26.48%,0.407,,,
32.90%,0.4,,,
27.61%,0.441,,,
33.45%,0.421,,,
31.84%,0.427,,,
27.61%,0.429,,,
22.47%,0.482,,,
31.24%,0.368,,,
22.47%,0.378,,,
31.24%,0.393,,,
25.19%,0.399,,,
33.13%,0.393,,,
31.24%,0.412,,,
25.60%,0.486,,,
30.44%,0.411,,,
33.45%,0.369,,,
27.61%,0.375,,,
31.24%,0.373,,,
33.45%,0.365,,,
29.68%,0.368,,,
33.45%,0.378,,,
33.45%,0.369,,,
26.35%,0.366,,,
31.24%,0.418,,,
33.45%,0.357,,,
33.45%,0.379,,,
30.44%,0.363,,,
22.47%,0.413,,,
28.01%,0.385,,,
31.24%,0.404,,,
30.44%,0.4,,,
31.24%,0.376,,,
23.85%,0.435,,,
31.24%,0.403,,,
31.24%,0.379,,,
33.45%,0.383,,,
31.24%,0.434,,,
28.01%,0.386,,,
33.13%,0.402,,,
29.68%,0.375,,,
27.54%,0.451,,,
31.24%,0.378,,,
33.45%,0.369,,,
30.44%,0.474,,,
33.13%,0.451,,,
31.24%,0.406,,,
33.13%,0.369,,,
33.45%,0.382,,,
33.45%,0.33,,,
31.24%,0.369,,,
33.45%,0.358,,,
25.60%,0.443,,,
31.24%,0.386,,,
30.44%,0.401,,,
33.45%,0.411,,,
33.45%,0.379,,,
33.45%,0.381,,,
33.45%,0.343,,,
31.24%,0.461,,,
28.82%,0.369,,,
25.60%,0.387,,,
33.13%,0.368,,,
28.49%,0.484,,,
33.13%,0.387,,,
33.45%,0.351,,,
26.70%,0.454,,,
25.60%,0.474,,,
28.01%,0.414,,,
30.44%,0.451,,,
33.45%,0.421,,,
31.24%,0.41,,,
25.60%,0.48,,,
31.24%,0.41,,,
22.47%,0.537,,,
30.44%,0.445,,,
31.24%,0.387,,,
33.45%,0.376,,,
27.61%,0.385,,,
33.45%,0.347,,,
31.24%,0.366,,,
33.45%,0.362,,,
33.13%,0.383,,,
27.61%,0.399,,,
24.54%,0.453,,,
33.45%,0.375,,,
31.24%,0.366,,,
33.45%,0.372,,,
33.45%,0.354,,,
30.44%,0.402,,,
31.24%,0.383,,,
28.01%,0.397,,,
31.24%,0.394,,,
30.44%,0.396,,,
31.24%,0.368,,,
33.13%,0.406,,,
33.45%,0.407,,,
33.45%,0.355,,,
30.44%,0.392,,,
28.82%,0.377,,,
31.84%,0.363,,,
33.45%,0.351,,,
33.45%,0.353,,,
31.84%,0.365,,,
31.24%,0.37,,,
26.35%,0.401,,,
28.01%,0.385,,,
31.24%,0.436,,,
31.24%,0.391,,,
31.84%,0.371,,,
33.45%,0.447,,,
31.24%,0.376,,,
33.45%,0.375,,,
33.45%,0.505,,,
26.33%,0.47,,,
25.11%,0.415,,,
33.45%,0.403,,,
33.45%,0.389,,,
26.35%,0.416,,,
31.24%,0.406,,,
33.45%,0.362,,,
30.44%,0.404,,,
33.45%,0.341,,,
31.24%,0.377,,,
33.45%,0.385,,,
27.61%,0.403,,,
31.84%,0.379,,,
28.01%,0.384,,,
27.61%,0.417,,,
26.89%,0.392,,,
25.60%,0.438,,,
30.44%,0.386,,,
28.94%,0.376,,,
27.54%,0.462,,,
27.61%,0.402,,,
33.13%,0.386,,,
26.48%,0.405,,,
31.24%,0.365,,,
27.61%,0.397,,,
25.60%,0.442,,,
30.44%,0.368,,,
31.24%,0.388,,,
31.24%,0.371,,,
25.60%,0.437,,,
30.44%,0.389,,,
26.33%,0.398,,,
26.35%,0.379,,,
25.19%,0.381,,,
28.01%,0.391,,,
31.24%,0.36,,,
31.84%,0.335,,,
25.60%,0.377,,,
31.24%,0.361,,,
30.44%,0.415,,,
33.13%,0.39,,,
22.47%,0.403,,,
31.24%,0.38,,,
33.13%,0.38,,,
33.45%,0.354,,,
33.13%,0.366,,,
31.24%,0.36,,,
33.45%,0.355,,,
33.45%,0.371,,,
26.48%,0.388,,,
33.45%,0.341,,,
30.44%,0.385,,,
30.44%,0.377,,,
31.24%,0.346,,,
30.44%,0.383,,,
28.94%,0.386,,,
25.60%,0.431,,,
28.94%,0.405,,,
33.45%,0.369,,,
28.94%,0.383,,,
27.61%,0.397,,,
25.19%,0.391,,,
33.45%,0.37,,,
31.24%,0.38,,,
33.45%,0.333,,,
33.45%,0.337,,,
22.47%,0.43,,,
30.44%,0.343,,,
25.60%,0.389,,,
26.33%,0.446,,,
28.82%,0.404,,,
33.45%,0.434,,,
27.61%,0.391,,,
28.94%,0.374,,,
25.60%,0.419,,,
33.45%,0.329,,,
31.24%,0.37,,,
22.47%,0.439,,,
31.24%,0.366,,,
33.13%,0.345,,,
31.84%,0.387,,,
23.85%,0.435,,,
31.24%,0.342,,,
31.24%,0.385,,,
33.45%,0.381,,,
31.24%,0.364,,,
33.45%,0.37,,,
33.45%,0.341,,,
33.13%,0.375,,,
33.45%,0.366,,,
28.24%,0.344,,,
33.13%,0.367,,,
30.44%,0.369,,,
33.45%,0.33,,,
33.45%,0.353,,,
31.24%,0.385,,,
33.45%,0.399,,,
33.45%,0.377,,,
31.24%,0.384,,,
23.85%,0.409,,,
31.24%,0.388,,,
33.13%,0.415,,,
23.85%,0.45,,,
31.24%,0.386,,,
30.44%,0.392,,,
23.85%,0.461,,,
30.44%,0.394,,,
28.01%,0.372,,,
25.60%,0.393,,,
31.24%,0.376,,,
33.45%,0.365,,,
28.01%,0.379,,,
28.94%,0.373,,,
26.48%,0.411,,,
22.47%,0.37,,,
33.13%,0.34,,,
30.44%,0.371,,,
25.60%,0.395,,,
33.45%,0.36,,,
33.13%,0.357,,,
32.27%,0.403,,,
33.13%,0.385,,,
31.84%,0.372,,,
22.47%,0.46,,,
33.45%,0.349,,,
30.44%,0.368,,,
23.85%,0.435,,,
26.48%,0.41,,,
33.70%,0.379,,,
28.94%,0.384,,,
22.47%,0.463,,,
28.94%,0.381,,,
31.24%,0.382,,,
26.33%,0.391,,,
27.61%,0.396,,,
25.60%,0.433,,,
28.01%,0.392,,,
33.45%,0.33,,,
31.24%,0.362,,,
33.45%,0.419,,,
33.45%,0.399,,,
33.45%,0.375,,,
33.45%,0.363,,,
25.60%,0.458,,,
22.12%,0.424,,,
33.45%,0.333,,,
33.13%,0.344,,,
28.01%,0.351,,,
28.01%,0.401,,,
30.44%,0.34,,,
31.24%,0.398,,,
31.24%,0.436,,,
22.47%,0.502,,,
28.94%,0.413,,,
31.24%,0.389,,,
31.24%,0.407,,,
31.24%,0.411,,,
33.45%,0.398,,,
25.60%,0.402,,,
31.24%,0.364,,,
27.61%,0.416,,,
33.13%,0.393,,,
31.24%,0.377,,,
33.45%,0.354,,,
33.45%,0.378,,,
28.01%,0.383,,,
28.01%,0.391,,,
28.94%,0.359,,,
33.45%,0.396,,,
30.44%,0.384,,,
31.24%,0.382,,,
27.61%,0.402,,,
31.24%,0.438,,,
31.31%,0.438,,,
33.45%,0.373,,,
26.86%,0.395,,,
33.45%,0.371,,,
28.01%,0.392,,,
31.24%,0.368,,,
31.84%,0.351,,,
28.94%,0.383,,,
31.84%,0.351,,,
33.45%,0.353,,,
31.90%,0.379,,,
23.85%,0.437,,,
31.24%,0.411,,,
31.24%,0.375,,,
28.94%,0.387,,,
25.60%,0.391,,,
25.60%,0.393,,,
26.35%,0.428,,,
27.61%,0.426,,,
28.01%,0.408,,,
25.19%,0.387,,,
33.45%,0.35,,,
31.24%,0.389,,,
27.61%,0.408,,,
28.01%,0.391,,,
27.61%,0.402,,,
26.35%,0.389,,,
28.94%,0.377,,,
33.45%,0.365,,,
22.47%,0.418,,,
30.44%,0.415,,,
23.85%,0.412,,,
30.49%,0.452,,,
25.60%,0.4,,,
33.45%,0.359,,,
26.33%,0.405,,,
23.85%,0.395,,,
22.47%,0.385,,,
31.24%,0.39,,,
26.48%,0.445,,,
33.45%,0.451,,,
33.45%,0.398,,,
28.01%,0.405,,,
31.24%,0.455,,,
28.94%,0.4,,,
28.94%,0.489,,,
22.12%,0.469,,,
31.84%,0.444,,,
33.13%,0.462,,,
26.48%,0.399,,,
31.84%,0.339,,,
27.61%,0.384,,,
26.86%,0.44,,,
22.47%,0.407,,,
33.45%,0.358,,,
31.24%,0.411,,,
23.85%,0.422,,,
31.84%,0.383,,,
31.24%,0.408,,,
25.60%,0.391,,,
33.13%,0.394,,,
28.01%,0.392,,,
27.61%,0.411,,,
33.45%,0.364,,,
28.01%,0.402,,,
33.45%,0.391,,,
33.13%,0.392,,,
33.45%,0.374,,,
23.85%,0.46,,,
28.94%,0.39,,,
25.60%,0.395,,,
31.24%,0.38,,,
25.19%,0.401,,,
31.24%,0.362,,,
33.13%,0.397,,,
33.13%,0.441,,,
25.60%,0.393,,,
33.45%,0.411,,,
28.01%,0.394,,,
33.45%,0.357,,,
33.13%,0.373,,,
31.84%,0.337,,,
33.45%,0.337,,,
31.84%,0.358,,,
31.24%,0.366,,,
31.84%,0.332,,,
33.45%,0.337,,,
25.60%,0.413,,,
33.13%,0.382,,,
33.45%,0.401,,,
31.24%,0.382,,,
33.45%,0.349,,,
33.45%,0.361,,,
25.60%,0.391,,,
33.45%,0.337,,,
33.45%,0.362,,,
33.45%,0.335,,,
27.61%,0.383,,,
33.45%,0.357,,,
25.60%,0.359,,,
26.33%,0.374,,,
28.49%,0.409,,,
30.44%,0.404,,,
28.94%,0.376,,,
33.45%,0.358,,,
28.01%,0.386,,,
25.60%,0.44,,,
31.24%,0.383,,,
33.45%,0.375,,,
33.45%,0.372,,,
22.47%,0.404,,,
27.61%,0.389,,,
33.45%,0.351,,,
23.85%,0.4,,,
33.45%,0.37,,,
23.85%,0.485,,,
31.24%,0.379,,,
25.60%,0.383,,,
30.44%,0.388,,,
28.01%,0.364,,,
28.82%,0.434,,,
27.61%,0.44,,,
31.24%,0.413,,,
31.24%,0.388,,,
30.44%,0.404,,,
33.45%,0.361,,,
26.89%,0.367,,,
23.85%,0.383,,,
33.45%,0.367,,,
30.44%,0.351,,,
31.24%,0.365,,,
31.24%,0.366,,,
25.19%,0.368,,,
27.61%,0.408,,,
32.90%,0.373,,,
27.61%,0.397,,,
33.45%,0.37,,,
31.24%,0.385,,,
33.45%,0.357,,,
31.24%,0.384,,,
33.45%,0.369,,,
33.45%,0.372,,,
33.45%,0.381,,,
33.45%,0.368,,,
33.13%,0.388,,,
33.13%,0.381,,,
25.60%,0.418,,,
27.61%,0.397,,,
23.85%,0.425,,,
31.24%,0.367,,,
28.01%,0.376,,,
33.45%,0.346,,,
33.45%,0.355,,,
33.45%,0.357,,,
27.61%,0.402,,,
28.01%,0.37,,,
22.12%,0.413,,,
30.44%,0.378,,,
31.24%,0.345,,,
23.85%,0.382,,,
37.33%,0.354,,,
33.13%,0.346,,,
30.24%,0.354,,,
23.85%,0.408,,,
25.19%,0.388,,,
31.84%,0.351,,,
31.24%,0.381,,,
30.44%,0.364,,,
28.01%,0.383,,,
33.45%,0.374,,,
31.24%,0.381,,,
33.13%,0.386,,,
27.27%,0.388,,,
31.24%,0.382,,,
27.61%,0.391,,,
30.44%,0.395,,,
33.45%,0.351,,,
23.85%,0.404,,,
31.24%,0.388,,,
26.33%,0.4,,,
31.24%,0.39,,,
33.13%,0.386,,,
27.61%,0.391,,,
28.01%,0.358,,,
33.13%,0.337,,,
31.84%,0.34,,,
27.61%,0.396,,,
31.24%,0.363,,,
28.01%,0.385,,,
28.94%,0.359,,,
33.45%,0.347,,,
33.45%,0.384,,,
22.12%,0.41,,,
33.45%,0.349,,,
26.48%,0.423,,,
31.24%,0.339,,,
33.13%,0.357,,,
30.44%,0.388,,,
23.85%,0.444,,,
31.24%,0.344,,,
28.94%,0.354,,,
30.44%,0.374,,,
30.44%,0.39,,,
31.24%,0.347,,,
33.45%,0.361,,,
25.60%,0.379,,,
26.48%,0.389,,,
33.45%,0.351,,,
26.48%,0.402,,,
31.24%,0.375,,,
31.24%,0.353,,,
26.33%,0.385,,,
30.44%,0.378,,,
28.01%,0.367,,,
33.45%,0.347,,,
26.86%,0.384,,,
31.24%,0.389,,,
25.60%,0.369,,,
31.84%,0.358,,,
28.01%,0.383,,,
33.45%,0.366,,,
33.45%,0.349,,,
33.45%,0.379,,,
33.13%,0.406,,,
31.24%,0.368,,,
33.13%,0.39,,,
30.44%,0.392,,,
23.85%,0.492,,,
29.63%,0.468,,,
31.84%,0.348,,,
33.45%,0.36,,,
33.45%,0.352,,,
27.61%,0.397,,,
31.24%,0.388,,,
33.45%,0.382,,,
30.91%,0.386,,,
27.15%,0.394,,,
23.85%,0.402,,,
31.24%,0.392,,,
30.44%,0.391,,,
28.01%,0.392,,,
33.45%,0.358,,,
27.61%,0.404,,,
31.24%,0.38,,,
23.85%,0.445,,,
28.01%,0.406,,,
25.60%,0.445,,,
28.01%,0.359,,,
23.85%,0.409,,,
33.13%,0.372,,,
33.45%,0.384,,,
30.10%,0.378,,,
31.24%,0.364,,,
25.19%,0.424,,,
22.47%,0.402,,,
23.85%,0.412,,,
33.45%,0.373,,,
31.84%,0.413,,,
33.13%,0.401,,,
33.13%,0.397,,,
31.24%,0.365,,,
33.45%,0.352,,,
23.85%,0.427,,,
33.13%,0.366,,,
33.45%,0.391,,,
31.24%,0.389,,,
33.45%,0.354,,,
26.48%,0.42,,,
33.45%,0.391,,,
31.24%,0.382,,,
31.24%,0.376,,,
31.84%,0.446,,,
33.45%,0.445,,,
31.24%,0.449,,,
28.01%,0.445,,,
33.45%,0.395,,,
27.61%,0.454,,,
30.49%,0.411,,,
31.24%,0.375,,,
30.44%,0.391,,,
23.85%,0.416,,,
33.45%,0.386,,,
23.85%,0.5,,,
31.24%,0.465,,,
31.24%,0.434,,,
30.44%,0.467,,,
23.39%,0.481,,,
31.84%,0.439,,,
31.24%,0.458,,,
30.44%,0.412,,,
23.85%,0.512,,,
33.45%,0.372,,,
25.60%,0.399,,,
33.45%,0.363,,,
33.13%,0.409,,,
30.44%,0.405,,,
25.60%,0.408,,,
27.61%,0.407,,,
33.13%,0.395,,,
22.47%,0.517,,,
31.24%,0.352,,,
31.24%,0.383,,,
26.33%,0.426,,,
31.84%,0.381,,,
31.24%,0.389,,,
25.60%,0.475,,,
25.60%,0.597,,,
26.33%,0.4,,,
33.45%,0.401,,,
33.45%,0.379,,,
28.01%,0.376,,,
22.47%,0.41,,,
26.35%,0.396,,,
30.44%,0.428,,,
30.44%,0.398,,,
30.47%,0.373,,,
31.24%,0.35,,,
33.45%,0.351,,,
28.94%,0.355,,,
22.12%,0.38,,,
31.84%,0.33,,,
33.45%,0.465,,,
31.24%,0.39,,,
28.94%,0.361,,,
31.84%,0.336,,,
28.94%,0.392,,,
28.94%,0.383,,,
33.45%,0.349,,,
25.60%,0.382,,,
30.44%,0.364,,,
31.24%,0.398,,,
31.24%,0.373,,,
25.60%,0.38,,,
31.24%,0.378,,,
30.44%,0.374,,,
31.24%,0.344,,,
31.24%,0.377,,,
31.24%,0.364,,,
33.45%,0.375,,,
33.45%,0.369,,,
31.84%,0.351,,,
33.45%,0.357,,,
33.13%,0.411,,,
31.24%,0.402,,,
33.45%,0.387,,,
31.84%,0.352,,,
30.44%,0.405,,,
33.13%,0.403,,,
31.24%,0.374,,,
31.24%,0.362,,,
32.90%,0.362,,,
25.60%,0.352,,,
25.60%,0.401,,,
27.61%,0.421,,,
31.24%,0.405,,,
33.45%,0.39,,,
31.24%,0.371,,,
22.12%,0.45,,,
25.60%,0.428,,,
23.85%,0.407,,,
33.45%,0.361,,,
33.45%,0.367,,,
26.35%,0.359,,,
31.24%,0.368,,,
27.61%,0.39,,,
25.60%,0.464,,,
22.47%,0.38,,,
33.13%,0.388,,,
31.24%,0.362,,,
31.24%,0.369,,,
25.60%,0.394,,,
31.24%,0.39,,,
25.60%,0.434,,,
33.45%,0.353,,,
31.24%,0.351,,,
30.44%,0.372,,,
30.44%,0.369,,,
25.60%,0.411,,,
33.45%,0.358,,,
26.48%,0.379,,,
25.60%,0.417,,,
30.44%,0.392,,,
30.44%,0.367,,,
33.45%,0.371,,,
28.01%,0.365,,,
33.45%,0.372,,,
28.01%,0.375,,,
33.13%,0.384,,,
23.85%,0.388,,,
27.61%,0.412,,,
33.45%,0.369,,,
30.44%,0.361,,,
28.94%,0.357,,,
28.01%,0.337,,,
33.13%,0.369,,,
33.45%,0.345,,,
31.24%,0.351,,,
28.01%,0.342,,,
31.24%,0.382,,,
31.24%,0.384,,,
33.45%,0.369,,,
31.24%,0.368,,,
31.24%,0.392,,,
33.45%,0.373,,,
31.24%,0.386,,,
33.45%,0.364,,,
33.45%,0.368,,,
33.45%,0.358,,,
31.24%,0.383,,,
33.13%,0.386,,,
33.45%,0.385,,,
29.34%,0.398,,,
25.80%,0.391,,,
31.24%,0.408,,,
26.48%,0.41,,,
25.19%,0.428,,,
33.45%,0.381,,,
22.47%,0.404,,,
31.24%,0.376,,,
31.24%,0.36,,,
31.84%,0.357,,,
25.60%,0.462,,,
30.44%,0.405,,,
33.45%,0.355,,,
28.24%,0.361,,,
23.85%,0.425,,,
28.01%,0.421,,,
33.45%,0.333,,,
33.13%,0.365,,,
27.61%,0.369,,,
26.89%,0.402,,,
26.33%,0.409,,,
25.19%,0.418,,,
31.24%,0.379,,,
30.44%,0.396,,,
33.13%,0.372,,,
30.44%,0.345,,,
31.24%,0.344,,,
31.84%,0.337,,,
32.27%,0.379,,,
33.45%,0.368,,,
33.45%,0.351,,,
25.60%,0.409,,,
27.61%,0.375,,,
35.37%,0.366,,,
22.47%,0.472,,,
33.45%,0.354,,,
25.60%,0.444,,,
31.24%,0.383,,,
22.47%,0.382,,,
30.44%,0.408,,,
30.44%,0.427,,,
30.44%,0.393,,,
31.24%,0.423,,,
31.84%,0.355,,,
27.61%,0.39,,,
31.24%,0.381,,,
27.61%,0.415,,,
31.84%,0.351,,,
27.61%,0.41,,,
30.44%,0.424,,,
31.84%,0.355,,,
28.94%,0.36,,,
33.45%,0.36,,,
31.24%,0.36,,,
25.60%,0.422,,,
33.13%,0.348,,,
33.13%,0.368,,,
23.85%,0.382,,,
33.13%,0.37,,,
33.45%,0.362,,,
26.48%,0.347,,,
27.61%,0.403,,,
26.33%,0.383,,,
31.24%,0.439,,,
31.31%,0.448,,,
37.33%,0.426,,,
23.85%,0.428,,,
33.13%,0.392,,,
31.24%,0.377,,,
30.44%,0.413,,,
31.24%,0.39,,,
31.84%,0.368,,,
31.24%,0.371,,,
27.61%,0.397,,,
22.47%,0.492,,,
30.44%,0.384,,,
30.44%,0.378,,,
22.47%,0.427,,,
31.24%,0.391,,,
27.61%,0.42,,,
33.13%,0.418,,,
31.24%,0.391,,,
31.84%,0.352,,,
28.94%,0.383,,,
31.24%,0.38,,,
33.45%,0.339,,,
31.24%,0.375,,,
33.45%,0.343,,,
33.45%,0.334,,,
33.13%,0.342,,,
31.24%,0.372,,,
27.61%,0.376,,,
27.61%,0.381,,,
27.61%,0.409,,,
26.48%,0.409,,,
26.35%,0.367,,,
25.60%,0.394,,,
28.01%,0.385,,,
30.44%,0.382,,,
33.45%,0.365,,,
33.45%,0.355,,,
30.44%,0.403,,,
22.47%,0.386,,,
28.01%,0.377,,,
30.44%,0.374,,,
28.01%,0.392,,,
33.13%,0.377,,,
28.94%,0.424,,,
31.84%,0.418,,,
31.22%,0.338,,,
27.61%,0.421,,,
33.45%,0.352,,,
26.33%,0.403,,,
26.89%,0.385,,,
33.45%,0.358,,,
33.45%,0.351,,,
31.24%,0.421,,,
33.13%,0.373,,,
33.45%,0.368,,,
33.13%,0.36,,,
26.33%,0.371,,,
31.24%,0.344,,,
33.45%,0.359,,,
22.47%,0.402,,,
30.44%,0.403,,,
33.45%,0.39,,,
33.13%,0.403,,,
33.45%,0.374,,,
33.13%,0.393,,,
33.45%,0.358,,,
22.47%,0.386,,,
22.47%,0.411,,,
33.45%,0.368,,,
28.01%,0.36,,,
28.94%,0.4,,,
31.24%,0.382,,,
28.01%,0.388,,,
33.45%,0.364,,,
33.45%,0.4,,,
26.33%,0.411,,,
33.45%,0.381,,,
33.13%,0.383,,,
33.13%,0.385,,,
33.13%,0.356,,,
27.61%,0.387,,,
26.48%,0.372,,,
31.24%,0.37,,,
23.39%,0.392,,,
30.44%,0.385,,,
31.24%,0.386,,,
28.94%,0.397,,,
33.45%,0.379,,,
31.24%,0.382,,,
25.60%,0.434,,,
30.44%,0.398,,,
24.80%,0.452,,,
28.94%,0.346,,,
25.73%,0.405,,,
30.44%,0.384,,,
30.44%,0.402,,,
33.45%,0.384,,,
33.45%,0.355,,,
28.94%,0.367,,,
33.13%,0.369,,,
31.24%,0.381,,,
23.85%,0.441,,,
27.61%,0.407,,,
22.47%,0.475,,,
30.44%,0.355,,,
33.45%,0.381,,,
23.85%,0.412,,,
25.60%,0.44,,,
33.45%,0.359,,,
22.47%,0.384,,,
28.94%,0.405,,,
31.24%,0.368,,,
33.45%,0.388,,,
25.60%,0.399,,,
33.45%,0.372,,,
28.94%,0.367,,,
27.61%,0.399,,,
33.45%,0.397,,,
31.24%,0.38,,,
30.44%,0.382,,,
28.49%,0.404,,,
23.85%,0.395,,,
24.54%,0.374,,,
33.45%,0.37,,,
30.44%,0.371,,,
28.94%,0.342,,,
28.01%,0.366,,,
31.84%,0.335,,,
33.13%,0.37,,,
31.24%,0.36,,,
33.13%,0.393,,,
30.44%,0.39,,,
30.44%,0.392,,,
30.44%,0.393,,,
26.89%,0.38,,,
27.61%,0.405,,,
33.13%,0.412,,,
31.24%,0.362,,,
31.22%,0.341,,,
33.45%,0.373,,,
33.45%,0.357,,,
33.45%,0.347,,,
31.24%,0.381,,,
33.45%,0.352,,,
22.12%,0.377,,,
22.47%,0.438,,,
22.47%,0.436,,,
26.48%,0.375,,,
22.47%,0.447,,,
31.24%,0.373,,,
28.01%,0.377,,,
28.01%,0.364,,,
31.24%,0.394,,,
26.48%,0.394,,,
31.24%,0.375,,,
22.47%,0.43,,,
27.61%,0.404,,,
31.24%,0.393,,,
31.24%,0.375,,,
27.80%,0.409,,,
28.94%,0.391,,,
27.61%,0.399,,,
25.60%,0.394,,,
28.94%,0.376,,,
28.01%,0.409,,,
27.61%,0.392,,,
28.01%,0.394,,,
27.61%,0.47,,,
22.47%,0.377,,,
33.13%,0.369,,,
22.47%,0.38,,,
27.61%,0.382,,,
23.85%,0.382,,,
31.24%,0.352,,,
30.44%,0.413,,,
30.44%,0.421,,,
31.84%,0.369,,,
33.45%,0.372,,,
28.94%,0.405,,,
30.44%,0.418,,,
33.45%,0.38,,,
31.84%,0.359,,,
31.22%,0.345,,,
28.24%,0.366,,,
33.13%,0.399,,,
30.44%,0.399,,,
33.45%,0.352,,,
33.13%,0.363,,,
33.13%,0.389,,,
31.84%,0.35,,,
28.94%,0.399,,,
31.22%,0.337,,,
33.45%,0.362,,,
31.24%,0.371,,,
31.24%,0.38,,,
30.44%,0.393,,,
33.45%,0.366,,,
27.54%,0.434,,,
23.85%,0.389,,,
31.24%,0.362,,,
33.45%,0.36,,,
31.24%,0.339,,,
23.85%,0.387,,,
22.12%,0.371,,,
30.44%,0.351,,,
33.45%,0.368,,,
25.19%,0.362,,,
27.61%,0.395,,,
26.33%,0.398,,,
31.24%,0.38,,,
33.13%,0.386,,,
33.45%,0.352,,,
28.01%,0.402,,,
31.24%,0.36,,,
22.47%,0.428,,,
30.44%,0.401,,,
24.80%,0.471,,,
31.84%,0.352,,,
27.61%,0.392,,,
27.61%,0.398,,,
22.47%,0.461,,,
31.84%,0.355,,,
26.48%,0.397,,,
33.45%,0.4,,,
31.84%,0.363,,,
33.45%,0.377,,,
30.44%,0.38,,,
31.24%,0.366,,,
33.13%,0.39,,,
27.15%,0.397,,,
33.13%,0.397,,,
28.01%,0.398,,,
28.94%,0.38,,,
31.24%,0.354,,,
29.34%,0.395,,,
31.24%,0.358,,,
33.45%,0.335,,,
28.01%,0.359,,,
33.45%,0.347,,,
28.01%,0.39,,,
31.84%,0.354,,,
31.24%,0.378,,,
31.24%,0.361,,,
25.60%,0.422,,,
27.61%,0.384,,,
33.45%,0.351,,,
33.45%,0.371,,,
28.94%,0.362,,,
33.45%,0.334,,,
28.01%,0.408,,,
30.44%,0.346,,,
27.61%,0.372,,,
33.45%,0.361,,,
22.47%,0.404,,,
30.44%,0.355,,,
31.24%,0.391,,,
28.01%,0.378,,,
28.01%,0.409,,,
31.24%,0.383,,,
31.24%,0.368,,,
33.45%,0.353,,,
31.24%,0.383,,,
33.45%,0.363,,,
31.84%,0.36,,,
33.13%,0.413,,,
31.24%,0.375,,,
30.44%,0.406,,,
28.01%,0.379,,,
33.45%,0.381,,,
30.44%,0.383,,,
23.85%,0.407,,,
26.33%,0.4,,,
31.24%,0.363,,,
33.45%,0.382,,,
33.45%,0.35,,,
33.45%,0.364,,,
31.24%,0.392,,,
31.84%,0.348,,,
31.24%,0.405,,,
31.24%,0.385,,,
27.61%,0.39,,,
23.85%,0.43,,,
30.44%,0.377,,,
31.24%,0.384,,,
31.24%,0.414,,,
27.61%,0.405,,,
33.45%,0.352,,,
30.44%,0.409,,,
26.48%,0.409,,,
33.45%,0.375,,,
25.60%,0.359,,,
33.45%,0.337,,,
31.84%,0.338,,,
31.24%,0.367,,,
31.24%,0.368,,,
30.44%,0.385,,,
27.61%,0.385,,,
33.45%,0.334,,,
33.45%,0.347,,,
33.13%,0.455,,,
33.45%,0.387,,,
23.85%,0.416,,,
31.24%,0.403,,,
30.44%,0.399,,,
30.44%,0.368,,,
33.45%,0.365,,,
22.47%,0.384,,,
31.24%,0.383,,,
31.24%,0.414,,,
31.24%,0.368,,,
31.24%,0.362,,,
31.24%,0.375,,,
25.60%,0.465,,,
31.24%,0.385,,,
30.44%,0.405,,,
30.44%,0.398,,,
31.84%,0.364,,,
33.45%,0.385,,,
25.60%,0.443,,,
